playerId,clubTeamId,nationalTeamTd,playerName,firstName,middleName,lastName,positionCode,positionName
32777,4502,4687,H. Tekin,Harun,,Tekin,GK,Goalkeeper
393228,3775,4423,M. Sarr,Malang,,Sarr,DF,Defender
393230,3772,0,O. Mandanda,Over,,Mandanda,GK,Goalkeeper
32793,683,19314,A. N'Diaye,Alfred John Momar,,N'Diaye,MD,Midfielder
393247,2975,0,I. Konat\u00e9,Ibrahima,,Konat\u00e9,DF,Defender
33,676,664,J. Cillessen,Jasper,,Cillessen,GK,Goalkeeper
36,1624,5629,T. Alderweireld,Toby,,Alderweireld,DF,Defender
48,1624,5629,J. Vertonghen,Jan,,Vertonghen,DF,Defender
229427,3783,0,A. Djiku,Alexander,,Djiku,DF,Defender
54,1624,7712,C. Eriksen,Christian ,,Dannemann Eriksen,MD,Midfielder
65596,2975,0,M. Sabitzer,Marcel,,Sabitzer,MD,Midfielder
66,3770,0,K. Sig\u00fe\u00f3rsson,Kolbeinn,,Sig\u00fe\u00f3rsson,FW,Forward
393284,3795,0,C. Traor\u00e9,Charles,,Traor\u00e9,DF,Defender
77,2443,4849,N. Moisander,Niklas,,Moisander,DF,Defender
91,2455,18138,C. Benschop,Charlison,,Benschop,FW,Forward
93,1646,7839,J. Gu\u00f0munds\u00adson,Johann ,,Berg Gu\u00f0munds\u00adson,MD,Midfielder
99,677,0,P. Tyto\u0144,Przemys\u0142aw,,Tyto\u0144,GK,Goalkeeper
102,3766,0,Marcelo,Marcelo Ant\u00f4nio,,Guedes Filho,DF,Defender
110,2462,0,J. Willems,Jetro,,Willems,DF,Defender
131184,3163,17759,Ali Adnan,Ali Adnan Kadhim,,Al Tameemi,DF,Defender
114,3158,0,K. Strootman,Kevin,,Strootman,MD,Midfielder
118,3766,664,M. Depay,Memphis,,Depay,FW,Forward
122,3187,5629,D. Mertens,Dries,,Mertens,FW,Forward
123,3780,7047,O. Toivonen,Ola,,Toivonen,FW,Forward
130,3162,0,S. de Vrij,Stefan,,de Vrij,DF,Defender
142,16469,16216,K. El Ahmadi,Karim,,El Ahmadi Al Aroos,MD,Midfielder
151,696,7047,J. Guidetti,John,,Guidetti,FW,Forward
32923,4535,4687,V. Babacan,Volkan,,Babacan,GK,Goalkeeper
159,2481,0,J. Gouweleeuw,Jeffrey,,Gouweleeuw,DF,Defender
174,3219,0,F. \u0110uri\u010di\u0107,Filip,,\u0110uri\u010di\u0107,MD,Midfielder
32959,2457,14496,P. Pekar\u00edk,Peter,,Pekar\u00edk,DF,Defender
192,3194,0,J. Vukovi\u0107,Jago\u0161,,Vukovi\u0107,DF,Defender
32968,16470,16216,N. Amrabat,Nordin,,Amrabat,FW,Forward
131321,3783,0,C. Kouakou,Christian,,Kouakou Yao,FW,Forward
254,683,0,R. Rosales,Roberto Jos\u00e9,,Rosales Altuve,DF,Defender
261,1627,5629,N. Chadli,Nacer,,Chadli,MD,Midfielder
295176,3172,0,R. Gosens,Robin,,Gosens,DF,Defender
229697,3770,0,Y. Bammou,Yacine,,Bammou,FW,Forward
328021,3783,0,F. Le Joncour,Florian,,Le Joncour,DF,Defender
65880,8743,0,Andr\u00e9 Ramalho,Andr\u00e9,,Ramalho Silva,DF,Defender
393566,3163,0,D. Borsellini,Davide,,Borsellini,GK,Goalkeeper
16443,1651,16823,L. Balogun,Leon-Aderemi,,Balogun,DF,Defender
295273,3166,17527,G. Donsah,Godfred,,Donsah,MD,Midfielder
382,3795,0,Suk Hyun-Jun,Hyun-Jun,,Suk,FW,Forward
383,9,17322,D. Tadi\u0107,Du\u0161an,,Tadi\u0107,MD,Midfielder
394,3163,0,B. Nuytinck,Bram,,Nuytinck,DF,Defender
