teamId,name,officialName,areaCode,areaName
1613,Newcastle United,Newcastle United FC,XEN,England
692,Celta de Vigo,Real Club Celta de Vigo,ESP,Spain
691,Espanyol,Reial Club Deportiu Espanyol,ESP,Spain
696,Deportivo Alav\u00e9s,Deportivo Alav\u00e9s,ESP,Spain
695,Levante,Levante UD,ESP,Spain
3795,Troyes,Esp\u00e9rance Sportive Troyes Aube Champagne,FRA,France
698,Getafe,Getafe Club de F\u00fatbol,ESP,Spain
2454,Borussia M'gladbach,Borussia VfL M\u00f6nchengladbach,DEU,Germany
1673,Huddersfield Town,Huddersfield Town FC,XEN,England
678,Athletic Club,Athletic Club Bilbao,ESP,Spain
679,Atl\u00e9tico Madrid,Club Atl\u00e9tico de Madrid,ESP,Spain
3766,Olympique Lyonnais,Olympique Lyonnais,FRA,France
3767,PSG,Paris Saint-Germain FC,FRA,France
674,Valencia,Valencia Club de F\u00fatbol,ESP,Spain
675,Real Madrid,Real Madrid Club de F\u00fatbol,ESP,Spain
676,Barcelona,FC Barcelona,ESP,Spain
714,Las Palmas,UD Las Palmas,ESP,Spain
712,Legan\u00e9s,CD Legan\u00e9s,ESP,Spain
3204,SPAL,Societ\u00e0 Polisportiva Ars et Labor 2013,ITA,Italy
10531,Swansea City,Swansea City AFC,XWA,Wales
3771,Olympique Marseille,Olympique de Marseille,FRA,France
3770,Nantes,FC Nantes,FRA,France
3775,Nice,O.G.C. Nice C\u00f4te d'Azur,FRA,France
3774,Rennes,Stade Rennais FC,FRA,France
3779,Strasbourg,RC Strasbourg Alsace,FRA,France
701,Eibar,SD Eibar,ESP,Spain
1659,AFC Bournemouth,AFC Bournemouth,XEN,England
1651,Brighton & Hove Albion,Brighton & Hove Albion FC,XEN,England
2443,Werder Bremen,SV Werder Bremen,DEU,Germany
2446,Bayer Leverkusen,TSV Bayer 04 Leverkusen,DEU,Germany
2447,Borussia Dortmund,BV Borussia 09 Dortmund,DEU,Germany
2444,Bayern M\u00fcnchen,FC Bayern M\u00fcnchen,DEU,Germany
2445,Stuttgart,VfB Stuttgart 1893,DEU,Germany
2449,Schalke 04,FC Schalke 04,DEU,Germany
3157,Milan,AC Milan,ITA,Italy
3799,Angers,Angers SCO,FRA,France
3159,Juventus,Juventus FC,ITA,Italy
3158,Roma,AS Roma,ITA,Italy
3315,Sassuolo,US Sassuolo Calcio,ITA,Italy
1646,Burnley,Burnley FC,XEN,England
3772,Bordeaux,FC Girondins de Bordeaux,FRA,France
2455,Hannover 96,Hannover 96,DEU,Germany
3804,Dijon,Dijon FCO,FRA,France
2457,Hertha BSC,Hertha BSC,DEU,Germany
2451,Wolfsburg,VfL Wolfsburg,DEU,Germany
2450,Hamburger SV,Hamburger SV,DEU,Germany
2453,Freiburg,SC Freiburg,DEU,Germany
3166,Bologna,Bologna FC 1909,ITA,Italy
3777,Metz,FC Metz,FRA,France
3164,Sampdoria,UC Sampdoria,ITA,Italy
3165,Chievo,AC Chievo Verona,ITA,Italy
3162,Lazio,SS Lazio,ITA,Italy
3163,Udinese,Udinese Calcio,ITA,Italy
3161,Internazionale,FC Internazionale Milano,ITA,Italy
1631,Leicester City,Leicester City FC,XEN,England
1633,West Ham United,West Ham United FC,XEN,England
1639,Stoke City,Stoke City FC,XEN,England
3219,Benevento,Benevento Calcio,ITA,Italy
3782,Saint-\u00c9tienne,AS Saint-\u00c9tienne,FRA,France
756,Girona,Girona FC,ESP,Spain
1644,Watford,Watford FC,XEN,England
2482,Hoffenheim,TSG 1899 Hoffenheim,DEU,Germany
3173,Cagliari,Cagliari Calcio,ITA,Italy
3172,Atalanta,Atalanta Bergamasca Calcio,ITA,Italy
3176,Fiorentina,ACF Fiorentina,ITA,Italy
1623,Everton,Everton FC,XEN,England
1627,West Bromwich Albion,West Bromwich Albion FC,XEN,England
1625,Manchester City,Manchester City FC,XEN,England
1624,Tottenham Hotspur,Tottenham Hotspur FC,XEN,England
2481,Augsburg,FC Augsburg,DEU,Germany
1628,Crystal Palace,Crystal Palace FC,XEN,England
19830,Monaco,AS Monaco FC,MCO,Monaco
2460,Mainz 05,1. FSV Mainz 05,DEU,Germany
3776,Lille,Lille OSC M\u00e9tropole,FRA,France
2462,Eintracht Frankfurt,Eintracht Frankfurt,DEU,Germany
1619,Southampton,Southampton FC,XEN,England
2463,K\u00f6ln,1. FC K\u00f6ln,DEU,Germany
1612,Liverpool,Liverpool FC,XEN,England
1610,Chelsea,Chelsea FC,XEN,England
1611,Manchester United,Manchester United FC,XEN,England
3185,Torino,Torino FC,ITA,Italy
3187,Napoli,SSC Napoli,ITA,Italy
677,Deportivo La Coru\u00f1a,Real Club Deportivo de La Coru\u00f1a,ESP,Spain
2975,RB Leipzig,Rasen Ballsport Leipzig,DEU,Germany
1609,Arsenal,Arsenal FC,XEN,England
3783,Caen,Stade Malherbe Caen,FRA,France
3780,Toulouse,Toulouse FC,FRA,France
3787,Montpellier,Montpellier HSC,FRA,France
3785,Guingamp,En Avant Guingamp,FRA,France
3789,Amiens SC,Amiens SC,FRA,France
3197,Crotone,FC Crotone,ITA,Italy
3194,Hellas Verona,Hellas Verona FC,ITA,Italy
3193,Genoa,Genoa CFC,ITA,Italy
684,Real Betis,Real Betis Balompi\u00e9,ESP,Spain
687,Real Sociedad,Real Sociedad de F\u00fatbol,ESP,Spain
680,Sevilla,Sevilla FC,ESP,Spain
683,M\u00e1laga,M\u00e1laga Club de F\u00fatbol,ESP,Spain
682,Villarreal,Villarreal Club de F\u00fatbol,ESP,Spain
14855,Korea Republic,Korea Republic,KOR,Korea Republic
10451,Hungary,Hungary,HUN,Hungary
4687,Turkey,Turkey,TUR,Turkey
14358,Russia,Russia,RUS,Russia
7047,Sweden,Sweden,SWE,Sweden
16276,Tunisia,Tunisia,TUN,Tunisia
6380,Brazil,Brazil,BRA,Brazil
3148,Germany,Germany,DEU,Germany
8731,Albania,Albania,ALB,Albania
11944,Romania,Romania,ROU,Romania
14622,Ukraine,Ukraine,UKR,Ukraine
16216,Morocco,Morocco,MAR,Morocco
14496,Slovakia,Slovakia,SVK,Slovakia
12430,Colombia,Colombia,COL,Colombia
17929,Panama,Panama,PAN,Panama
8493,Australia,Australia,AUS,Australia
12274,Argentina,Argentina,ARG,Argentina
10962,Northern Ireland,Northern Ireland,XNI,Northern Ireland
9905,Portugal,Portugal,PRT,Portugal
5629,Belgium,Belgium,BEL,Belgium
7712,Denmark,Denmark,DNK,Denmark
15670,Uruguay,Uruguay,URY,Uruguay
10682,Wales,Wales,XWA,Wales
16871,Costa Rica,Costa Rica,CRI,Costa Rica
2413,England,England,XEN,England
16129,Egypt,Egypt,EGY,Egypt
12913,Japan,Japan,JPN,Japan
10840,Iran,Iran,IRN,Iran
9109,Austria,Austria,AUT,Austria
7839,Iceland,Iceland,ISL,Iceland
9598,Croatia,Croatia,HRV,Croatia
15473,Mexico,Mexico,MEX,Mexico
8274,Republic of Ireland,Republic of Ireland,IRL,Ireland Republic
11555,Czech Republic,Czech Republic,CZE,Czech Republic
19314,Senegal,Senegal,SEN,Senegal
3757,Italy,Italy,ITA,Italy
15594,Peru,Peru,PER,Peru
4418,France,France,FRA,France
16521,Saudi Arabia,Saudi Arabia,SAU,Saudi Arabia
1598,Spain,Spain,ESP,Spain
17322,Serbia,Serbia,SRB,Serbia
6697,Switzerland,Switzerland,CHE,Switzerland
13869,Poland,Poland,POL,Poland
16823,Nigeria,Nigeria,NGA,Nigeria
